iter	Logloss
448	0.1012598365
449	0.1011821323
450	0.1011344496
451	0.1011019671
452	0.1010574513
453	0.10093034
454	0.1008070091
455	0.1006903369
456	0.1005457901
457	0.1003747235
458	0.1002410179
459	0.1002113949
460	0.1001911187
461	0.1000870441
462	0.09994238486
463	0.09984744342
464	0.09974230557
465	0.09971060324
466	0.09967834312
467	0.09960277892
468	0.09949540167
469	0.09945117602
470	0.09936395682
471	0.09927161809
472	0.09914334242
473	0.09910172225
474	0.09906827678
475	0.09901742812
476	0.09891307369
477	0.0988075965
478	0.0987649128
479	0.09871353961
480	0.09869066803
481	0.09860226739
482	0.09856542725
483	0.09854685416
484	0.09846297493
485	0.09838883648
486	0.09832831233
487	0.09824918931
488	0.09821292342
489	0.09814233468
490	0.0980347878
491	0.09796317856
492	0.09783966031
493	0.09778164306
494	0.09770596298
495	0.09756431467
496	0.09742135622
497	0.09740924685
498	0.09737713161
499	0.09734402729
500	0.09732294664
501	0.0972281378
502	0.0971532267
503	0.09706059837
504	0.09702370867
505	0.09691792922
506	0.09686376122
507	0.09676079433
508	0.09662010957
509	0.09642765341
510	0.09626888986
511	0.09618316414
512	0.09613619991
513	0.09601572769
514	0.09595143686
515	0.09586687568
516	0.09574473445
517	0.09570494814
518	0.09568022259
519	0.09561033438
520	0.09555983435
521	0.09549862436
522	0.09543945835
523	0.09537968779
524	0.09531697583
525	0.09522248479
526	0.09515812923
527	0.09504300653
528	0.09500936823
529	0.09488174114
530	0.0948456679
531	0.09479485939
532	0.09477788769
533	0.09464421473
534	0.09459031027
535	0.09453897114
536	0.0944460728
537	0.09435358918
538	0.09425566176
539	0.09418780864
540	0.09413121545
541	0.09408336422
542	0.09400973359
543	0.09394217369
544	0.09389831846
545	0.09383940007
546	0.09377489049
547	0.09371700263
548	0.09356625477
549	0.0934990666
550	0.09345052738
551	0.09332625956
552	0.09330032199
553	0.0932387989
554	0.09319209074
555	0.09316668771
556	0.09311518752
557	0.09305823436
558	0.09294526594
559	0.09284599387
560	0.09279416034
561	0.09276059355
562	0.09272996
563	0.09266088929
564	0.09248873105
565	0.0924610844
566	0.09238225563
567	0.09228734909
568	0.09225141188
569	0.09219807285
570	0.09216982394
571	0.09214255013
572	0.09205959939
573	0.09200173108
574	0.09197101798
575	0.09183733583
576	0.09176201079
577	0.09168837357
578	0.09163464411
579	0.09156109846
580	0.09148536751
581	0.09137561036
582	0.09125382939
583	0.09116432694
584	0.09111719751
585	0.09107067508
586	0.09099096053
587	0.09085930492
588	0.09080511728
589	0.09077587315
590	0.09072581443
591	0.09057130401
592	0.09050326886
593	0.09044278979
594	0.0904022551
595	0.09037071616
596	0.09035376447
597	0.09030111543
598	0.0902154894
599	0.09013777454
600	0.09009332908
601	0.09003012927
602	0.08999926517
603	0.08991613177
604	0.08988897615
605	0.08981456414
606	0.08978456366
607	0.08967625944
608	0.08961623796
609	0.08958077181
610	0.08955095562
611	0.08950858775
612	0.08936222719
613	0.08930405551
614	0.0891460466
615	0.08909172928
616	0.08906253464
617	0.08897103156
618	0.08893399735
619	0.0888915397
620	0.08877996139
621	0.08872848998
622	0.08868344843
623	0.08855317967
624	0.08853114208
625	0.08850137134
626	0.08845179799
627	0.08841117863
628	0.08835055996
629	0.08829728806
630	0.08819159008
631	0.08808537518
632	0.08796189256
633	0.08786100545
634	0.08779777111
635	0.08777641303
636	0.08765574459
637	0.08760052333
638	0.08752532966
639	0.08749440005
640	0.08745433007
641	0.0874153093
642	0.08738509237
643	0.08731323045
644	0.08723555379
645	0.08720867741
646	0.08713190987
647	0.0870327637
648	0.08700765444
649	0.08694212766
650	0.08692491585
651	0.08680608795
652	0.08677651709
653	0.08672733804
654	0.08666026266
655	0.08656712054
656	0.08653907932
657	0.08643028568
658	0.08636453082
659	0.08629858349
660	0.08624867688
661	0.08618911107
662	0.08616242961
663	0.08609203666
664	0.08604570787
665	0.08601129185
666	0.08594308338
667	0.08587882691
668	0.08585050215
669	0.08572863969
670	0.08565446978
671	0.08554059344
672	0.085497381
673	0.08541002268
674	0.08534724664
675	0.08528852565
676	0.08522200511
677	0.08514482518
678	0.0850885293
679	0.08498919825
680	0.0848943082
681	0.08477860096
682	0.08476142107
683	0.0846491919
684	0.08463083695
685	0.08459537647
686	0.08449781806
687	0.08440391867
688	0.08433906714
689	0.0843154184
690	0.08425567167
691	0.08419383772
692	0.08417760735
693	0.0841490142
694	0.08413317752
695	0.08408740126
696	0.08402770417
697	0.08396941789
698	0.083915069
699	0.08382611985
700	0.08378375624
701	0.08369151395
702	0.08367422833
703	0.08364890816
704	0.08358939575
705	0.0834811334
706	0.08346581789
707	0.0834329564
708	0.08336597744
709	0.08329901285
710	0.08320941219
711	0.08307695216
712	0.08299695369
713	0.08293271111
714	0.08286439499
715	0.08279753945
716	0.08272955368
717	0.0826600992
718	0.08263812854
719	0.08262117852
720	0.08260487953
721	0.08256335917
722	0.08244420618
723	0.08238447455
724	0.08224954011
725	0.08219156635
726	0.08208737667
727	0.08203178914
728	0.08199345038
729	0.08197110027
730	0.08192757775
731	0.08188460219
732	0.08182148771
733	0.08178502001
734	0.08174790064
735	0.08172593246
736	0.0816440537
737	0.08154102114
738	0.08143367464
739	0.08137703204
740	0.08135552382
741	0.0812985433
742	0.08121289581
743	0.08113816665
744	0.08105356299
745	0.08103621718
746	0.08102074862
747	0.08092978775
748	0.08091420237
749	0.08081910984
750	0.0807381205
751	0.08066862092
752	0.0805638549
753	0.08053767082
754	0.08049151897
755	0.08046533332
756	0.08040859947
757	0.08033567683
758	0.08028146837
759	0.08026451263
760	0.08017302621
761	0.08014244661
762	0.08009827027
763	0.08003429445
764	0.07993465374
765	0.0798723015
766	0.07983356695
767	0.07978188915
768	0.07968945904
769	0.07961894045
770	0.07952291668
771	0.07945487309
772	0.07943430364
773	0.07941298589
774	0.07935561511
775	0.07929519254
776	0.07918512066
777	0.07916918157
778	0.07906241913
779	0.07901474633
780	0.07899427164
781	0.07897884864
782	0.07889290884
783	0.07883977929
784	0.07875779573
785	0.0786664814
786	0.07862771826
787	0.07856890151
788	0.07846480631
789	0.07840985421
790	0.07833883585
791	0.07825418871
792	0.07821749115
793	0.07818199333
794	0.07808378397
795	0.07798247966
796	0.07791945981
797	0.07784207701
798	0.07780736351
799	0.07776117896
800	0.07774184465
801	0.07770110895
802	0.0776443819
803	0.07759154473
804	0.07757168339
805	0.07753767983
806	0.07746073552
807	0.07739776774
808	0.07738323954
809	0.07733087334
810	0.07730253764
811	0.07725997066
812	0.07721523375
813	0.07716511107
814	0.07714149259
815	0.0770537694
816	0.07699827646
817	0.07697910055
818	0.07689489331
819	0.07681395606
820	0.07676365074
821	0.07671528291
822	0.07665400689
823	0.07662185821
824	0.07660357309
825	0.07653952986
826	0.07646259768
827	0.07636916804
828	0.07627831629
829	0.07626454795
830	0.07618689011
831	0.07613725894
832	0.07606389883
833	0.07598412242
834	0.07592608042
835	0.07589924905
836	0.07586229574
837	0.07578806178
838	0.07574859486
839	0.07567710416
840	0.0756465634
841	0.07553998832
842	0.07548780413
843	0.07537844529
844	0.07529352864
845	0.07518955644
846	0.07511837443
847	0.07507043217
848	0.07503475017
849	0.07496061287
850	0.0748679632
851	0.07482143075
852	0.07474411911
853	0.07473083406
854	0.07471775206
855	0.07470086909
856	0.07468430421
857	0.07460425077
858	0.07455712385
859	0.07452813337
860	0.07442824031
861	0.07439088816
862	0.07436187275
863	0.07434563207
864	0.07431782154
865	0.07419391111
866	0.07414032683
867	0.07410011504
868	0.07403421414
869	0.07398893054
870	0.07394359596
871	0.07392777398
872	0.07382788173
873	0.0737998314
874	0.07378186351
875	0.07376054704
876	0.07366701808
877	0.07360151284
878	0.07354424348
879	0.07352872429
880	0.07349319225
881	0.07343063181
882	0.07335210367
883	0.07325633004
884	0.07321258392
885	0.07313528951
886	0.07304413683
887	0.07298911408
888	0.07297692807
889	0.07292190472
890	0.07286673269
891	0.07282843905
892	0.07277192539
893	0.07273775306
894	0.07263521224
895	0.07260846631
896	0.07253716257
897	0.07252520553
898	0.07244976038
899	0.0723523928
900	0.07232049412
901	0.07224752654
902	0.07223607826
903	0.07218278336
904	0.07216832424
905	0.07212611366
906	0.07209733841
907	0.07204166237
908	0.07200451624
909	0.07199041228
910	0.07196462753
911	0.07195374372
912	0.0718680982
913	0.07185718776
914	0.07183839537
915	0.07180649551
916	0.07178569242
917	0.0717374789
918	0.07171943993
919	0.07169439017
920	0.07162234468
921	0.07150680944
922	0.07139210758
923	0.07131523271
924	0.07126359175
925	0.07123314013
926	0.07121581959
927	0.07114708739
928	0.07106483083
929	0.07100047727
930	0.07094654555
931	0.07088657288
932	0.07085733385
933	0.07078848184
934	0.07076881946
935	0.07071277257
936	0.070684323
937	0.07063439589
938	0.07057732417
939	0.0705496955
940	0.07046040891
941	0.07042972998
942	0.07040565243
943	0.07038161791
944	0.0703299011
945	0.07030541505
946	0.07026880763
947	0.07024250166
948	0.07014796119
949	0.07012228907
950	0.07009730892
951	0.07002646255
952	0.07000486636
953	0.06996919746
954	0.06995406311
955	0.06993271896
956	0.06991799555
957	0.06983889632
958	0.06974043542
959	0.06971652928
960	0.0696932676
961	0.06962652053
962	0.06960386985
963	0.06954025756
964	0.06946631094
965	0.0693725888
966	0.06930771191
967	0.0692588312
968	0.06922981086
969	0.06910906338
970	0.06908700534
971	0.06901766278
972	0.06897772745
973	0.06892313531
974	0.06878981543
975	0.06872731785
976	0.06869822738
977	0.06864629015
978	0.06853183603
979	0.06846063617
980	0.06840773403
981	0.06834326798
982	0.0683202187
983	0.06825781767
984	0.06820759955
985	0.06816866811
986	0.06811755346
987	0.06804499378
988	0.06801697848
989	0.06798300343
990	0.0679575312
991	0.06793425269
992	0.06789057327
993	0.06788507062
994	0.06781013363
995	0.06778354923
996	0.0677625399
997	0.06771398158
998	0.0676288081
999	0.06758704884
